Time,Position,Velocity
0,0,0
0.0333333333,0,0
0.0666666667,0,0
0.1,0,0
0.133333333,0,0
0.166666667,0,0
0.2,0,0
0.233333333,0,0
0.266666667,0,0
0.3,0,0
0.333333333,0,0
0.366666667,0,0
0.4,0,0
0.433333333,0,0
0.466666667,0,0
0.5,0,0
0.533333333,0,0
0.566666667,0,0
0.6,0,0
0.633333333,0,0
0.666666667,0,0
0.7,0,0
0.733333333,0,0
0.766666667,0,0
0.8,0,0
0.833333333,0,0
0.866666667,0,0
0.9,0,0
0.933333333,0,0
0.966666667,0,0
1,0,0
1.03333333,0,0
1.06666667,0,0
1.1,0,0
1.13333333,0,0
1.16666667,0,0
1.2,0,0
1.23333333,0,0
1.26666667,0,0
1.3,0,0
1.33333333,0,0
1.36666667,0,0
1.4,0,0
1.43333333,0,0
1.46666667,0,0
1.5,0,0
1.53333333,0,0
1.56666667,0,0
1.6,0,0
1.63333333,0,0
1.66666667,0,0
1.7,0,0
1.73333333,0,0
1.76666667,0,0
1.8,0,0
1.83333333,0,0
1.86666667,0,0
1.9,0,0
1.93333333,0,0
1.96666667,0,0
2,0,0
2.03333333,0,0
2.06666667,0,0
2.1,0,0
2.13333333,0,0
2.16666667,0,0
2.2,0,0
2.23333333,0,0
2.26666667,0,0
2.3,0,0
2.33333333,0,0
2.36666667,0,0
2.4,0,0
2.43333333,0,0
2.46666667,0,0
2.5,0,0
2.53333333,0,0
2.56666667,0,0
2.6,0,0
2.63333333,0,0
2.66666667,0,0
2.7,0,0
2.73333333,0,0
2.76666667,0,0
2.8,0,0
2.83333333,0,0
2.86666667,0,0
2.9,0,0
2.93333333,0,0
2.96666667,0,0
3,0,0
3.03333333,0,0
3.06666667,0,0
3.1,0,0
3.13333333,0,0
3.16666667,0,0
3.2,0,0
3.23333333,0,0
3.26666667,0,0
3.3,0,0
3.33333333,0,0
3.36666667,0,0
3.4,0,0
3.43333333,0,0
3.46666667,0,0
3.5,0,0
3.53333333,0,0
3.56666667,0,0
3.6,0,0
3.63333333,0,0
3.66666667,0,0
3.7,0,0
3.73333333,0,0
3.76666667,0,0
3.8,0,0
3.83333333,0,0
3.86666667,0,0
3.9,0,0
3.93333333,0,0
3.96666667,0,0
4,0,0
4.03333333,0,0
4.06666667,0,0
4.1,0,0
4.13333333,0,0
4.16666667,0,0
4.2,0,0
4.23333333,0,0
4.26666667,0,0
4.3,0,0
4.33333333,0,0
4.36666667,0,0
4.4,0,0
4.43333333,0,0
4.46666667,0,0
4.5,0,0
4.53333333,0,0
4.56666667,0,0
4.6,0,0
4.63333333,0,0
4.66666667,0,0
4.7,0,0
4.73333333,0,0
4.76666667,0,0
4.8,0,0
4.83333333,0,0
4.86666667,0,0
4.9,0,0
4.93333333,0,0
4.96666667,0,0
5,0,0
5.03333333,0,0
5.06666667,0,0
5.1,0,0
5.13333333,0,0
5.16666667,0,0
5.2,0,0
5.23333333,0,0
5.26666667,0,0
5.3,0,0
5.33333333,0,0
5.36666667,0,0
5.4,0,0
5.43333333,0,0
5.46666667,0,0
5.5,0,0
5.53333333,0,0
5.56666667,0,0
5.6,0,0
5.63333333,0,0
5.66666667,0,0
5.7,0,0
5.73333333,0,0
5.76666667,0,0
5.8,0,0
5.83333333,0,0
5.86666667,0,0
5.9,0,0
5.93333333,0,0
5.96666667,0,0
6,0,0
6.03333333,0,0
6.06666667,0,0
6.1,0,0
6.13333333,0,0
6.16666667,0,0
6.2,0,0
6.23333333,0,0
6.26666667,0,0
6.3,0,0
6.33333333,0,0
6.36666667,0,0
6.4,0,0
6.43333333,0,0
6.46666667,0,0
6.5,0,0
6.53333333,0,0
6.56666667,0,0
6.6,0,0
6.63333333,0,0
6.66666667,0,0
6.7,0,0
6.73333333,0,0
6.76666667,0,0
6.8,0,0
6.83333333,0,0
6.86666667,0,0
6.9,0,0
6.93333333,0,0
6.96666667,0,0
7,0,0
7.03333333,0,0
7.06666667,0,0
7.1,0,0
7.13333333,0,0
7.16666667,0,0
7.2,0,0
7.23333333,0,0
7.26666667,0,0
7.3,0,0
7.33333333,0,0
7.36666667,0,0
7.4,0,0
7.43333333,0,0
7.46666667,0,0
7.5,0,0
7.53333333,0,0
7.56666667,0,0
7.6,0,0
