Time,Position,Velocity
0,0,0.575958653
0.0333333333,0.019206085,0.576398362
0.0666666667,0.0384253468,0.576727901
0.1,0.057652057,0.57683137
0.133333333,0.0768773045,0.576648857
0.166666667,0.0960921678,0.576218175
0.2,0.115289784,0.575638268
0.233333333,0.134468124,0.575046242
0.266666667,0.153627953,0.574591192
0.3,0.172776583,0.574348905
0.333333333,0.191921142,0.574354947
0.366666667,0.211069431,0.574554392
0.4,0.230225821,0.574830867
0.433333333,0.249390702,0.575062339
0.466666667,0.268560963,0.575126333
0.5,0.287729508,0.574967109
0.533333333,0.30688944,0.574601833
0.566666667,0.326035048,0.574094864
0.6,0.345161973,0.573559316
0.633333333,0.36427288,0.573114761
0.666666667,0.383371921,0.572838161
0.7,0.402464971,0.572768786
0.733333333,0.421558833,0.572872596
0.766666667,0.440657488,0.573058751
0.8,0.459762565,0.573223271
0.833333333,0.478871136,0.57328208
0.866666667,0.497978876,0.573161625
0.9,0.517079558,0.572863882
0.933333333,0.536167668,0.572440877
0.966666667,0.555241785,0.571981942
1,0.574300949,0.571583031
1.03333333,0.593349106,0.571310985
1.06666667,0.612390814,0.571213579
1.1,0.63143189,0.571264638
1.13333333,0.650476113,0.571403571
1.16666667,0.669525572,0.571544
1.2,0.688578288,0.57160886
1.23333333,0.707631078,0.571542962
1.26666667,0.726679362,0.571332234
1.3,0.745718691,0.57100755
1.33333333,0.76474557,0.570640209
1.36666667,0.783761064,0.570310329
1.4,0.802767802,0.570069145
1.43333333,0.821768222,0.569979577
1.46666667,0.84076793,0.570013887
1.5,0.859770399,0.570136024
1.53333333,0.878777081,0.570276027
1.56666667,0.897787967,0.570361575
1.6,0.916800164,0.570356957
1.63333333,0.93580998,0.570225116
1.66666667,0.954813659,0.569997353
1.7,0.973809028,0.569723113
1.73333333,0.992795769,0.569462897
1.76666667,1.01177442,0.569282486
1.8,1.03074906,0.569202971
1.83333333,1.04972297,0.569236577
1.86666667,1.06869942,0.569350722
1.9,1.08767986,0.569491501
1.93333333,1.10666495,0.569598729
1.96666667,1.12565229,0.569632722
2,1.14463921,0.569572752
2.03333333,1.1636223,0.56942033
2.06666667,1.18259958,0.569222185
2.1,1.20157052,0.569025445
2.13333333,1.22053569,0.568875653
2.16666667,1.23949701,0.568813268
2.2,1.25845767,0.568837169
2.23333333,1.27742062,0.568935002
2.26666667,1.29638731,0.569060882
2.3,1.31535785,0.569170085
2.33333333,1.33433112,0.569224688
2.36666667,1.353305,0.569203045
2.4,1.37227662,0.569099403
2.43333333,1.3912439,0.568946664
2.46666667,1.41020601,0.568784625
2.5,1.42916329,0.568651997
2.53333333,1.44811714,0.568577943
2.56666667,1.46706968,0.568575781
2.6,1.48602334,0.5686394
2.63333333,1.50497961,0.568731757
2.66666667,1.52393879,0.568816844
2.7,1.54290012,0.568861618
2.73333333,1.56186197,0.568844732
2.76666667,1.58082203,0.568758373
2.8,1.59977819,0.568621277
2.83333333,1.61872957,0.568467071
2.86666667,1.63767614,0.568328127
2.9,1.65661884,0.568230893
2.93333333,1.6755592,0.568188966
2.96666667,1.69449908,0.568203774
3,1.71343999,0.568247968
3.03333333,1.73238235,0.568292025
3.06666667,1.75132572,0.568307751
3.1,1.77026885,0.568275028
3.13333333,1.78920998,0.568185629
3.16666667,1.80814711,0.568046684
3.2,1.82707935,0.567886499
3.23333333,1.84600619,0.567732503
3.26666667,1.86492873,0.567606848
3.3,1.88384751,0.567531736
3.33333333,1.90276462,0.567498999
3.36666667,1.92168118,0.567495645
3.4,1.94059772,0.567497235
3.43333333,1.95951402,0.567480669
3.46666667,1.97842916,0.567427145
3.5,1.99734176,0.567329009
3.53333333,2.01625044,0.567191679
3.56666667,2.03515417,0.567031628
3.6,2.05405255,0.56687114
3.63333333,2.07294593,0.566731526
3.66666667,2.09183524,0.566626862
3.7,2.11072169,0.5665601
3.73333333,2.1296064,0.566522624
3.76666667,2.14848999,0.566496359
3.8,2.16737259,0.566461167
3.83333333,2.18625383,0.566405106
3.86666667,2.20513244,0.566312234
3.9,2.22400741,0.566186542
3.93333333,2.24287753,0.566039552
3.96666667,2.26174319,0.565889714
4,2.2806042,0.56575126
4.03333333,2.29946091,0.565639853
4.06666667,2.31831432,0.565563728
4.1,2.33716563,0.565518
4.13333333,2.35601577,0.565488179
4.16666667,2.37486482,0.56545812
4.2,2.39371256,0.565411407
4.23333333,2.41255833,0.565339999
4.26666667,2.43140131,0.565243484
4.3,2.45024084,0.565128573
4.33333333,2.46907652,0.565007141
4.36666667,2.48790834,0.564893194
4.4,2.50673671,0.564799311
4.43333333,2.52556235,0.564734059
4.46666667,2.54438616,0.564698696
4.5,2.56320913,0.56468043
4.53333333,2.58203157,0.56466663
4.56666667,2.60085341,0.564645101
4.6,2.61967426,0.564607057
4.63333333,2.63849366,0.564549689
4.66666667,2.65731071,0.564473418
4.7,2.67612526,0.564388865
4.73333333,2.69493684,0.564308552
4.76666667,2.71374601,0.564244226
4.8,2.73255346,0.564202874
4.83333333,2.7513599,0.564187386
4.86666667,2.77016615,0.564188385
4.9,2.78897257,0.564197504
4.93333333,2.80777925,0.564202593
4.96666667,2.82658586,0.564194934
5,2.84539193,0.564170686
5.03333333,2.86419696,0.564131383
5.06666667,2.88300044,0.564083731
5.1,2.90180272,0.564034668
5.13333333,2.92060308,0.563998772
5.16666667,2.93940275,0.563978717
5.2,2.95820202,0.56397337
5.23333333,2.97700133,0.563986107
5.26666667,2.99580133,0.564007092
5.3,3.01460185,0.564026541
5.33333333,3.03340288,0.56404113
5.36666667,3.05220416,0.564037053
5.4,3.07100504,0.564020913
5.43333333,3.08980539,0.563995826
5.46666667,3.10860476,0.56396453
5.5,3.12740306,0.563939246
5.53333333,3.14620083,0.563922911
5.56666667,3.16499821,0.563917359
5.6,3.18379573,0.563929494
5.63333333,3.20259372,0.56394684
5.66666667,3.22139219,0.563965862
5.7,3.24019127,0.563980223
5.73333333,3.25899059,0.56398068
5.76666667,3.27778973,0.563970443
5.8,3.29658852,0.563949498
5.83333333,3.31538615,0.563918615
5.86666667,3.3341829,0.563889151
5.9,3.3529789,0.563863287
5.93333333,3.37177408,0.563846696
5.96666667,3.39056888,0.563841512
6,3.40936363,0.563841576
6.03333333,3.42815838,0.56384536
6.06666667,3.44695321,0.563844588
6.1,3.46574788,0.563836105
6.13333333,3.48454206,0.563815853
6.16666667,3.5033354,0.563784335
6.2,3.52212762,0.563744486
6.23333333,3.54091837,0.563700619
6.26666667,3.55970772,0.563658668
6.3,3.57849578,0.563622758
6.33333333,3.59728275,0.563595213
6.36666667,3.61606888,0.563574763
6.4,3.6348544,0.563557185
6.43333333,3.65363932,0.563537756
6.46666667,3.67242344,0.56351142
6.5,3.69120656,0.563476021
6.53333333,3.70998833,0.563430983
6.56666667,3.72876838,0.563378262
6.6,3.74754688,0.563322181
6.63333333,3.76632347,0.56326596
6.66666667,3.78509797,0.56321555
6.7,3.80387104,0.563171393
6.73333333,3.82264284,0.563132897
6.76666667,3.8414135,0.563098803
6.8,3.86018286,0.563065817
6.83333333,3.87895098,0.563028748
6.86666667,3.89771786,0.562986009
6.9,3.91648334,0.562936983
6.93333333,3.9352472,0.562881659
6.96666667,3.95400867,0.562822205
7,3.97276833,0.56276399
7.03333333,3.99152628,0.562709289
7.06666667,4.0102826,0.562659882
7.1,4.02903724,0.562617997
7.13333333,4.04779046,0.562581932
7.16666667,4.0665426,0.562547939
7.2,4.08529368,0.562513849
7.23333333,4.1040437,0.562477529
7.26666667,4.1227921,0.56243563
7.3,4.14153907,0.562389914
7.33333333,4.16028462,0.562342317
7.36666667,4.17902871,0.562294746
7.4,4.19777121,0.562250132
7.43333333,4.21651211,0.562212477
7.46666667,4.23525198,0.562180998
7.5,4.25399096,0.562155047
7.53333333,4.27272919,0.562133551
7.56666667,4.29146662,0.562114433
7.6,4.31020337,0.562094167
7.63333333,4.32893946,0.562071727
7.66666667,4.34767482,0.562046862
7.7,4.36640936,0.562019817
7.73333333,4.3851429,0.561992719
7.76666667,4.40387558,0.561968307
7.8,4.42260753,0.561948785
7.83333333,4.44133892,0.561935424
7.86666667,4.46006997,0.561928071
7.9,4.47880085,0.561925149
7.93333333,4.49753169,0.561924911
7.96666667,4.51626252,0.561924837
8,4.53499332,0.561923166
8.03333333,4.55372403,0.561919348
8.06666667,4.57245459,0.561913781
8.1,4.59118494,0.561908036
8.13333333,4.60991514,0.561904149
8.16666667,4.62864527,0.561903683
8.2,4.64737548,0.561907838
8.23333333,4.66610583,0.561915763
8.26666667,4.68483665,0.561928939
8.3,4.70356789,0.561943518
